robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
6400,0.000000,0.000000,3,-0.113289,0.132434,0.609725,2,-9999.000000,-9999.000000,-9999.000000
6440,0.000000,0.000000,3,-0.096151,0.131337,0.594583,2,-9999.000000,-9999.000000,-9999.000000
6480,0.000000,0.000000,3,-0.088634,0.129226,0.583148,2,-9999.000000,-9999.000000,-9999.000000
6520,0.000000,0.000000,3,-0.081537,0.128715,0.580168,2,-9999.000000,-9999.000000,-9999.000000
6560,0.000000,0.000000,3,-0.075950,0.129752,0.577593,2,-9999.000000,-9999.000000,-9999.000000
6600,0.000000,0.000000,3,-0.068928,0.129493,0.566652,2,-9999.000000,-9999.000000,-9999.000000
6640,0.000000,0.000000,3,-0.054433,0.129810,0.551552,2,-9999.000000,-9999.000000,-9999.000000
6680,0.000000,0.000000,3,-0.048133,0.132230,0.553295,2,-9999.000000,-9999.000000,-9999.000000
6720,0.000000,0.000000,3,-0.040211,0.129771,0.540093,2,-9999.000000,-9999.000000,-9999.000000
6760,0.000000,0.000000,3,-0.036053,0.124942,0.525187,2,-9999.000000,-9999.000000,-9999.000000
6800,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
6840,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
6880,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
6920,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
6960,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
7000,0.000000,0.000000,3,-0.206663,0.120254,0.459440,1,0.556116,0.125852,0.506949
7040,0.000000,0.000000,3,-0.200264,0.122283,0.464016,1,0.565382,0.129415,0.500291
7080,0.000000,0.000000,3,-0.198787,0.123887,0.466562,1,0.567112,0.129357,0.498939
7120,0.000000,0.000000,3,-0.193238,0.120858,0.458421,1,0.569251,0.128077,0.498156
7160,0.000000,0.000000,3,-0.191924,0.120881,0.458904,1,0.578409,0.129130,0.504004
7200,-1.689930,4.748367,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
7240,-1.689930,4.748367,3,-0.195942,0.122867,0.469245,1,0.570903,0.128002,0.496725
7280,-1.689930,4.748367,3,-0.192211,0.121239,0.460554,1,0.570903,0.128002,0.496725
7320,-1.689930,4.748367,3,-0.195202,0.122879,0.468448,1,0.570903,0.128002,0.496725
7360,-1.689930,4.748367,3,-0.195882,0.121769,0.466567,1,0.585629,0.131657,0.513287
7400,-1.689930,4.748367,3,-0.198574,0.119907,0.467825,1,0.575678,0.126558,0.507683
7440,-1.689930,4.748367,1,0.582652,0.127970,0.505729,3,-0.188604,0.121318,0.470634
7480,-1.689930,4.748367,3,-0.185574,0.121791,0.482721,2,-9999.000000,-9999.000000,-9999.000000
7520,0.000000,0.000000,3,-0.183576,0.124026,0.494945,2,-9999.000000,-9999.000000,-9999.000000
7560,0.000000,0.000000,3,-0.177278,0.124337,0.499272,2,-9999.000000,-9999.000000,-9999.000000
7600,1.689930,-4.748367,3,-0.170885,0.123472,0.496701,2,-9999.000000,-9999.000000,-9999.000000
7640,1.689930,-4.748367,3,-0.165138,0.125086,0.513859,2,-9999.000000,-9999.000000,-9999.000000
7680,1.689930,-4.748367,3,-0.164626,0.127600,0.528568,2,-9999.000000,-9999.000000,-9999.000000
7720,1.689930,-4.748367,3,-0.159634,0.126089,0.529730,2,-9999.000000,-9999.000000,-9999.000000
7760,1.689930,-4.748367,3,-0.157190,0.127991,0.541999,2,-9999.000000,-9999.000000,-9999.000000
7800,1.689930,-4.748367,3,-0.149699,0.127616,0.559976,2,-9999.000000,-9999.000000,-9999.000000
7840,1.689930,-4.748367,3,-0.143470,0.126141,0.561764,2,-9999.000000,-9999.000000,-9999.000000
7880,1.689930,-4.748367,3,-0.138008,0.127175,0.573591,2,-9999.000000,-9999.000000,-9999.000000
7920,6.404438,7.133364,3,-0.136149,0.130440,0.588863,2,-9999.000000,-9999.000000,-9999.000000
7960,6.404438,7.133364,3,-0.131991,0.129207,0.593473,2,-9999.000000,-9999.000000,-9999.000000
8000,6.404438,7.133364,3,-0.121639,0.132893,0.621526,2,-9999.000000,-9999.000000,-9999.000000
8040,6.404438,7.133364,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
8080,6.404438,7.133364,3,-0.105781,0.131555,0.638198,2,-9999.000000,-9999.000000,-9999.000000
8120,6.404438,7.133364,3,-0.097631,0.136550,0.652904,2,-9999.000000,-9999.000000,-9999.000000
8160,6.404438,7.133364,3,-0.088574,0.134055,0.654094,2,-9999.000000,-9999.000000,-9999.000000
8200,6.404438,7.133364,3,-0.077166,0.126529,0.667473,2,-9999.000000,-9999.000000,-9999.000000
8240,6.404438,7.133364,3,-0.074158,0.131469,0.669205,2,-9999.000000,-9999.000000,-9999.000000
8280,6.404438,7.133364,3,-0.071955,0.128165,0.666491,2,-9999.000000,-9999.000000,-9999.000000
8320,0.000000,0.000000,3,-0.072150,0.128849,0.690456,2,-9999.000000,-9999.000000,-9999.000000
8360,0.000000,0.000000,3,-0.077612,0.135507,0.704290,2,-9999.000000,-9999.000000,-9999.000000
8400,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
8440,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
8480,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
8520,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
