robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
4920,9.504207,8.720405,3,-0.452065,0.131277,0.651815,900,-9999.000000,-9999.000000,-9999.000000
4940,9.504207,8.720405,3,-0.445578,0.132797,0.641002,1,0.331568,0.134882,0.732457
4960,9.504207,8.720405,3,-0.445578,0.132797,0.641002,1,0.331568,0.134882,0.732457
4980,9.593645,8.774749,3,-0.438315,0.129967,0.629568,900,-9999.000000,-9999.000000,-9999.000000
5000,9.593645,8.774749,3,-0.434562,0.127217,0.625241,900,-9999.000000,-9999.000000,-9999.000000
5020,9.593645,8.774749,3,-0.434562,0.127217,0.625241,900,-9999.000000,-9999.000000,-9999.000000
5040,9.593645,8.774749,3,-0.426701,0.125677,0.615988,900,-9999.000000,-9999.000000,-9999.000000
5060,10.076860,9.248487,3,-0.426701,0.125677,0.615988,900,-9999.000000,-9999.000000,-9999.000000
5080,10.360814,9.248487,3,-0.423504,0.124907,0.610238,1,0.352086,0.134303,0.672024
5100,10.360814,9.248487,3,-0.415933,0.121363,0.599685,900,-9999.000000,-9999.000000,-9999.000000
5120,10.360814,9.387005,3,-0.415933,0.121363,0.599685,900,-9999.000000,-9999.000000,-9999.000000
5140,10.360814,9.387005,3,-0.410695,0.120803,0.593634,900,-9999.000000,-9999.000000,-9999.000000
5160,11.033029,9.387005,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
5180,11.033029,9.739907,3,-0.399979,0.122895,0.581262,900,-9999.000000,-9999.000000,-9999.000000
5200,11.033029,9.739907,3,-0.392259,0.121312,0.571620,1,0.387064,0.134228,0.624269
5220,10.615819,9.739907,3,-0.392259,0.121312,0.571620,1,0.387064,0.134228,0.624269
5240,10.615819,9.739907,1,0.389966,0.131251,0.616350,3,-0.388962,0.118657,0.556088
5260,10.615819,10.046875,900,-9999.000000,-9999.000000,-9999.000000,900,-9999.000000,-9999.000000,-9999.000000
5280,9.983467,10.046875,1,0.379469,0.129362,0.604689,900,-9999.000000,-9999.000000,-9999.000000
